"","z","type","suf","id","rep"
"12996",-11,4,0.0169897441749142,65,1
"12997",-10,1,0.000184647746288913,65,1
"12998",-10,2,0.000380129811161169,65,1
"12999",-10,4,0.0213273853951933,65,1
"13000",-9,1,0.000391374019509687,65,1
"13001",-9,2,0.000551985762352548,65,1
"13002",-9,4,0.0315895129539946,65,1
"13003",-8,1,0.000591947694138646,65,1
"13004",-8,2,0.000986607593945436,65,1
"13005",-8,4,0.0350709692410585,65,1
"13006",-7,1,0.000666437824171625,65,1
"13007",-7,2,0.00143746908779377,65,1
"13008",-7,4,0.0383024978511708,65,1
"13009",-6,1,0.0015631338585576,65,1
"13010",-6,2,0.00436914831363313,65,1
"13011",-6,4,0.0721280322297918,65,1
"13012",-5,1,0.00314223181227016,65,1
"13013",-5,2,0.00796780064432906,65,1
"13014",-5,4,0.0888756087993777,65,1
"13015",-4,1,0.00440173301851589,65,1
"13016",-4,2,0.0462534645373023,65,1
"13017",-4,4,0.100262462248355,65,1
"13018",-3,1,0.0137841005202659,65,1
"13019",-3,2,0.152271757947715,65,1
"13020",-3,4,0.133078961653696,65,1
"13021",-2,1,0.00931158250089676,65,1
"13022",-2,2,0.0886426160835088,65,1
"13023",-2,4,0.0695634861071715,65,1
"13024",-41,1,3.7708599933069e-10,65,2
"13025",-40,1,4.57364356012276e-10,65,2
"13026",-39,1,5.42275120131605e-10,65,2
"13027",-38,1,1.02651607511644e-09,65,2
"13028",-37,1,1.00904654791212e-09,65,2
"13029",-36,1,1.84775278846237e-09,65,2
"13030",-35,1,2.87833240653033e-09,65,2
"13031",-34,1,4.65114255448835e-09,65,2
"13032",-33,1,7.34010108274022e-09,65,2
"13033",-32,1,1.08181047951143e-08,65,2
"13034",-31,1,1.73250485515938e-08,65,2
"13035",-30,1,3.03958601388562e-08,65,2
"13036",-29,1,4.58504300067913e-08,65,2
"13037",-28,1,6.93053114209386e-08,65,2
"13038",-27,1,9.64522149537159e-08,65,2
"13039",-26,1,1.24706795075426e-07,65,2
"13040",-25,1,2.25399340804581e-07,65,2
"13041",-24,1,3.8456500332538e-07,65,2
"13042",-23,1,5.8717122835566e-07,65,2
"13043",-22,1,9.578804293674e-07,65,2
"13044",-21,1,1.36811770748037e-06,65,2
"13045",-20,1,1.6718776719534e-06,65,2
"13046",-19,1,3.60593398231978e-06,65,2
"13047",-18,1,5.76477756650697e-06,65,2
"13048",-18,4,8.84026998042083e-05,65,2
"13049",-17,1,7.21169449551671e-06,65,2
"13050",-17,4,0.000108557293002497,65,2
"13051",-16,1,9.99965870838039e-06,65,2
"13052",-16,4,0.000153503565309785,65,2
"13053",-15,1,2.05091647696054e-05,65,2
"13054",-15,4,0.000233469468197346,65,2
"13055",-14,1,3.09398832391065e-05,65,2
"13056",-14,4,0.000366683849581462,65,2
"13057",-13,1,3.39329984217897e-05,65,2
"13058",-13,4,0.00101533734261525,65,2
"13059",-12,1,5.45741050975985e-05,65,2
"13060",-12,2,5.38919885524057e-05,65,2
"13061",-12,4,0.00232828876992791,65,2
"13062",-11,1,9.14794911608331e-05,65,2
"13063",-11,2,0.000125708039957513,65,2
"13064",-11,4,0.00331004206310689,65,2
"13065",-10,1,0.000144680806552753,65,2
"13066",-10,2,0.000341151136489473,65,2
"13067",-10,4,0.00369022779480611,65,2
"13068",-9,1,0.00022608733720938,65,2
"13069",-9,2,0.000320737005576333,65,2
"13070",-9,4,0.0118564872866586,65,2
"13071",-8,1,0.000392435174446968,65,2
"13072",-8,2,0.00103832583827293,65,2
"13073",-8,4,0.0367175285532573,65,2
"13074",-7,1,0.000408179642094555,65,2
"13075",-7,2,0.00162600709673196,65,2
"13076",-7,4,0.0445832632776191,65,2
"13077",-6,1,0.00103763525663604,65,2
"13078",-6,2,0.00384068141163685,65,2
"13079",-6,4,0.0754527082522892,65,2
"13080",-5,1,0.00197244494565497,65,2
"13081",-5,2,0.0408429121814231,65,2
"13082",-5,4,0.0983119943276288,65,2
"13083",-4,1,0.00483927302084304,65,2
"13084",-4,2,0.0793948420455585,65,2
"13085",-4,4,0.108341930596461,65,2
"13086",-3,1,0.0108120786393995,65,2
"13087",-3,2,0.049516299695729,65,2
"13088",-3,4,0.152531225583731,65,2
"13089",-2,1,0.00556957567266643,65,2
"13090",-2,2,0.161673104985577,65,2
"13091",-2,4,0.0668995437145145,65,2
"13092",-1,2,0.0295711259382758,65,2
"13093",-45,1,7.02284633459164e-13,65,4
"13094",-44,1,1.51792593278209e-12,65,4
"13095",-43,1,2.72296107446452e-12,65,4
"13096",-42,1,2.94388752716813e-12,65,4
"13097",-41,1,5.26285878412827e-12,65,4
"13098",-40,1,7.43314851976547e-12,65,4
"13099",-39,1,1.29864427006047e-11,65,4
"13100",-38,1,2.18182070328515e-11,65,4
"13101",-37,1,2.83264286710337e-11,65,4
"13102",-36,1,6.26282309805121e-11,65,4
"13103",-35,1,7.87328648511171e-11,65,4
"13104",-34,1,1.79285077920473e-10,65,4
"13105",-33,1,2.48297534980639e-10,65,4
