"","Cc","age","sam"
"70",3.82911467105247,7.1,1
"71",3.96748761512808,7.2,1
"72",4.08159956032822,7.3,1
"73",4.18858492087197,7.4,1
"74",4.31761062483758,7.5,1
"75",4.4622641177667,7.6,1
"76",4.72120708288436,7.7,1
"77",4.90775163139501,7.8,1
"78",5.00305323132093,7.9,1
"79",5.24252403542992,8,1
"80",5.38649249238995,8.1,1
"81",5.56394292073559,8.2,1
"82",5.66355032483479,8.3,1
"83",5.81326151479925,8.4,1
"84",6.06783549490225,8.5,1
"85",6.17031331435184,8.6,1
"86",6.36668753452536,8.7,1
"87",6.52792136523282,8.8,1
"88",6.79391551807027,8.9,1
"89",0.0163688290893673,0.2,2
"90",0.0275691998165473,0.3,2
"91",0.0275691998165473,0.4,2
"92",0.046668445741514,0.5,2
"93",0.046668445741514,0.6,2
"94",0.0727793014742806,0.7,2
"95",0.0727793014742806,0.8,2
"96",0.0945906873970377,0.9,2
"97",0.105854494746075,1,2
"98",0.105854494746075,1.1,2
"99",0.133660706682138,1.2,2
"100",0.133660706682138,1.3,2
"101",0.152526272388259,1.4,2
"102",0.152526272388259,1.5,2
"103",0.178832045884005,1.6,2
"104",0.178832045884005,1.7,2
"105",0.178832045884005,1.8,2
"106",0.214708251431886,1.9,2
"107",0.225909793674512,2,2
"108",0.225909793674512,2.1,2
"109",0.247273232931893,2.2,2
"110",0.258190733076048,2.3,2
"111",0.268635345133831,2.4,2
"112",0.282831977697286,2.5,2
"113",0.318034986157203,2.6,2
"114",0.318034986157203,2.7,2
"115",0.343097376089478,2.8,2
"116",0.374902473298625,2.9,2
"117",0.393651662234025,3,2
"118",0.436978644853273,3.1,2
"119",0.463922917034416,3.2,2
"120",0.510167479983828,3.3,2
"121",0.510167479983828,3.4,2
"122",0.574494700730486,3.5,2
"123",0.632494493888959,3.6,2
"124",0.675215083252207,3.7,2
"125",0.678584398499754,3.8,2
"126",0.742045518511328,3.9,2
"127",0.827515202066921,4,2
"128",0.834785995488109,4.1,2
"129",0.884382110007011,4.2,2
"130",0.905237665234829,4.3,2
"131",0.980382476327524,4.4,2
"132",1.00341085358374,4.5,2
"133",1.05152554003089,4.6,2
"134",1.09862240402418,4.7,2
"135",1.15350644745097,4.8,2
"136",1.16462091498242,4.9,2
"137",1.21946145501008,5,2
"138",1.25126871473597,5.1,2
"139",1.31504679655675,5.2,2
"140",1.32416120869746,5.3,2
"141",1.39930185811485,5.4,2
"142",1.42316859489391,5.5,2
"143",1.46649808393072,5.6,2
"144",1.46649808393072,5.7,2
"145",1.57462117169761,5.8,2
"146",1.58975880062746,5.9,2
"147",1.63985380196479,6,2
"148",1.65310519684465,6.1,2
"149",1.7319739150794,6.2,2
"150",1.75377951078884,6.3,2
"151",1.79710598985373,6.4,2
"152",1.82205584704413,6.5,2
"153",1.87270854582675,6.6,2
"154",1.89074439541428,6.7,2
"155",1.93839790468752,6.8,2
"156",2.0000889114672,6.9,2
"157",2.0000889114672,7,2
"158",2.01458754083123,7.1,2
"159",2.10353795187718,7.2,2
"160",2.11230003721249,7.3,2
"161",2.13168739686713,7.4,2
"162",2.13168739686713,7.5,2
"163",2.16105500316479,7.6,2
"164",2.16105500316479,7.7,2
"165",2.17729664456278,7.8,2
"166",2.17729664456278,7.9,2
"167",2.17729664456278,8,2
"168",2.20893194767397,8.1,2
"169",2.23035698521497,8.2,2
"170",2.23035698521497,8.3,2
"171",2.23035698521497,8.4,2
"172",2.25416217521826,8.5,2
"173",2.27549161696892,8.6,2
"174",2.27549161696892,8.7,2
"175",2.28823316657272,8.8,2
"176",2.29850743658622,8.9,2
"177",0.0610466434960052,0.2,3
"178",0.0875972475071232,0.3,3
"179",0.125313602383008,0.4,3
"180",0.146226979234168,0.5,3
"181",0.183354324480233,0.6,3
"182",0.210271004156796,0.7,3
"183",0.24658621788386,0.8,3
"184",0.264848956003638,0.9,3
"185",0.310328139041839,1,3
"186",0.345006407329814,1.1,3
"187",0.372758673742472,1.2,3
"188",0.407298501432057,1.3,3
"189",0.424559888500577,1.4,3
"190",0.444545861598145,1.5,3
"191",0.478937132695309,1.6,3
"192",0.526435612820084,1.7,3
"193",0.55547876963382,1.8,3
"194",0.586806837336085,1.9,3
"195",0.65867386826796,2,3
"196",0.691993395424339,2.1,3
"197",0.80715968752565,2.2,3
"198",0.871953471420004,2.3,3
"199",0.990383885133826,2.4,3
"200",1.02659565986845,2.5,3
"201",1.24509966150147,2.6,3
"202",1.330301336688,2.7,3
"203",1.50133395006901,2.8,3
"204",1.54379561199509,2.9,3
"205",1.78242691078859,3,3
"206",1.96708967112838,3.1,3
"207",2.09238719632812,3.2,3
"208",2.35685580229045,3.3,3
"209",2.55870201123965,3.4,3
"210",2.74166423406471,3.5,3
"211",2.98466208190241,3.6,3
"212",3.3469522099683,3.7,3
"213",3.64505288184393,3.8,3
"214",3.82250427377847,3.9,3
"215",4.18689370846202,4,3
"216",4.58396772646257,4.1,3
"217",4.74469434954238,4.2,3
"218",5.03300394746804,4.3,3
"219",5.53585227390518,4.4,3
"220",5.93402441085147,4.5,3
"221",6.23856708633841,4.6,3
"222",6.63273947676167,4.7,3
